Method,Data size,Data function,Noise mean,Noise std. deviation,Relative error min,Relative error max,Relative error mean,Relative error std. deviation,Time elapsed
8nn,10000,rastrigin_func,0.0,5.0,2.4315696402065146e-08,0.0001993346451463636,5.056352069896635e-05,3.804350661836712e-05,0.2588493824005127
8nn,1000000,rastrigin_func,0.0,5.0,3.260138256537007e-10,0.0001423035473596295,2.480218503390983e-05,1.8344214301923557e-05,28.454655408859253
8nn,100000,rastrigin_func,0.0,5.0,4.559605093443127e-09,0.00020173113600100578,4.56599543420227e-05,3.32584826682175e-05,3.0543997287750244
8nn,10000000,rastrigin_func,0.0,5.0,3.0813818128510774e-12,7.800621078325458e-05,1.2687267689863527e-05,9.545848137466426e-06,328.3700923919678
8nn,1000,rosenbrock_func,0,0,0.6755161805461504,383.4996543055494,73.8179733741335,73.58297337835208,0.07053375244140625
8nn,100000,rosenbrock_func,0,0,0.00015704510714689883,365.2796859174907,20.454046540147495,24.746847766743194,3.7695655822753906
8nn,10000,rosenbrock_func,0,0,0.01894349494318129,435.73771302521845,41.39589469165342,48.70705200305644,0.31000590324401855
8nn,1000000,rosenbrock_func,0,0,1.0737655163773115e-05,200.10216800861573,10.459995700627967,12.655311187855881,31.347816228866577
8nn,10000000,rosenbrock_func,0,0,3.342407912073621e-06,119.52819883703896,5.471807726473388,6.455654334802711,337.3641221523285
8nn,1000,rosenbrock_func,0.0,5.0,0.37490965372709223,403.4450527696493,81.54478897897177,81.13864252397642,0.07459354400634766
8nn,10000,rosenbrock_func,0.0,5.0,0.021572488310846686,457.44645053318953,41.46557118934457,47.98422376256983,0.31522274017333984
8nn,100000,rosenbrock_func,0.0,5.0,0.001084715044113684,306.0338290815109,20.898867738119844,25.427627920957036,3.619523763656616
8nn,1000000,rosenbrock_func,0.0,5.0,1.7072327302551542e-05,192.17606015330227,10.414541369851808,12.625890536814703,29.251474618911743
8nn,10000000,rosenbrock_func,0.0,5.0,9.507357265882788e-07,135.25625548766553,5.4657059735092535,6.454639765850284,320.8885238170624
8nn,1000,sphere_func,0,0,0.00040958489577020286,0.28898842009337,0.05158807222916105,0.04809052774092159,0.0886533260345459
8nn,10000,sphere_func,0,0,1.1044561878015453e-05,0.17388556078207043,0.021473017287745155,0.02007428364092116,0.18239808082580566
8nn,100000,sphere_func,0,0,1.8325225033660053e-06,0.11617456923096041,0.01077372473280938,0.00991592596650796,1.3664488792419434
8nn,1000000,sphere_func,0,0,6.802903096093059e-08,0.06818521474704078,0.005548106319000842,0.004933558341316831,25.41715383529663
8nn,10000000,sphere_func,0,0,5.455160181542205e-10,0.03975989694820877,0.0029638061923217105,0.0025469933636976328,249.22395873069763
8nn,1000,sphere_func,0.0,5.0,0.0008754406458308087,0.28695277537138375,0.047822530577103194,0.044585315547466656,0.06744003295898438
8nn,10000,sphere_func,0.0,5.0,1.381384350910418e-05,0.18800666907788308,0.02617565770110718,0.02250507258326011,0.18086552619934082
8nn,100000,sphere_func,0.0,5.0,3.384862151970604e-06,0.12417829142871414,0.017674006222209625,0.013877540240123276,1.6769251823425293
8nn,1000000,sphere_func,0.0,5.0,1.1819155399833182e-07,0.09026182589677584,0.014689348237826153,0.01114631996502998,19.75970435142517
8nn,10000000,sphere_func,0.0,5.0,9.979129830551279e-09,0.08983519993036077,0.01379174391591716,0.010424346004587706,239.0598976612091
fnn,100000,rastrigin_func,0,0,1.7536387122189006e-09,0.00018362674737644756,4.7970004762331754e-05,3.472382146595464e-05,239.7310938835144
fnn,10000,rastrigin_func,0,0,3.1511974233659296e-08,0.0001947526960467364,5.0955161034026665e-05,3.6908500691125374e-05,24.959660291671753
fnn,1000,rastrigin_func,0,0,9.884668867355012e-08,0.0002584854654388717,6.87575937100024e-05,5.580264506626946e-05,2.7763071060180664
fnn,1000000,rastrigin_func,0,0,2.41396930596777e-10,0.0001772227638696115,4.6105820178565404e-05,3.345829923268486e-05,2850.290090560913
fnn,10000,rastrigin_func,0.0,5.0,4.709272605685393e-08,0.00018225348855389653,4.894779909007821e-05,3.508360380300485e-05,23.910354375839233
fnn,1000,rastrigin_func,0.0,5.0,6.25934798488399e-07,0.00023770697276215722,7.069723469516679e-05,5.171859021985252e-05,3.089728593826294
fnn,100000,rastrigin_func,0.0,5.0,2.4394670151720177e-09,0.0001806498413789486,4.773360994983776e-05,3.4647506291806855e-05,248.51257300376892
fnn,1000000,rastrigin_func,0.0,5.0,1.8803625091606546e-10,0.0001772498546063618,4.7127034509208646e-05,3.4073587120487804e-05,1477.1905641555786
fnn,1000,rosenbrock_func,0,0,0.5236201272078133,297.5104883066932,61.80282657296658,53.95578248332133,7.522952318191528
fnn,1000000,rosenbrock_func,0,0,9.634582125380519e-06,17.323742157162933,3.1774527879921726,2.2125565286188085,1354.099115371704
fnn,10000,rosenbrock_func,0,0,0.029415119341658646,280.8196325929755,50.894133097311574,39.804832378593595,44.56222414970398
fnn,100000,rosenbrock_func,0,0,0.00014531679356834514,31.341601566722623,4.921450494168048,3.7851740059355286,387.01293087005615
fnn,100000,rosenbrock_func,0.0,5.0,0.00047951011609519785,29.651717141490156,6.71425351928548,4.042420880274044,537.4997022151947
fnn,1000000,rosenbrock_func,0.0,5.0,9.541694833865065e-05,19.894161406977467,3.9448679731916614,2.1930413627323766,1448.9921200275421
fnn,10000,rosenbrock_func,0.0,5.0,0.005115840378455165,230.5405832196946,41.0901603251204,31.504265000052577,52.88792943954468
