Method,Data size,Data function,Noise mean,Noise std. deviation,Absolute error min,Absolute error max,Absolute error mean,Absolute error std. deviation,Relative error min,Relative error max,Relative error mean,Relative error std. deviation,Normalized error min,Normalized error max,Normalized error mean,Normalized error std. deviation,Time elapsed
1nn,1000,sphere_func,0.0,5.0,0.0024091372324380354,0.29725099756638806,0.07890310959636213,0.0569502171656875,0.004072575737565789,1.4979888917415414,0.21673804802174054,0.20033238741473328,0.0029415642776563482,0.36302058906560025,0.09636931154264496,0.0695597091725382,0.049590349197387695
1nn,10000,sphere_func,0.0,5.0,2.201242240384982e-05,0.23233817267685292,0.05054489080786605,0.038189327756198106,8.611130762854894e-05,0.7445385842748627,0.13075986162186323,0.10905668199786622,2.532399375310477e-05,0.2672913650997075,0.05814891589786593,0.04393456929865618,0.12239265441894531
1nn,1000000,sphere_func,0.0,5.0,2.5808562542639635e-07,0.19466513061903432,0.03215861918789658,0.024289448676912823,4.858932842172152e-07,0.9517932558913886,0.08991284844333257,0.07843287789934052,3.3448261665661563e-07,0.252288759413398,0.041678024788323394,0.031479468634402416,8.363439798355103
2nn,100000,rastrigin_func,0,0,2.406345249783559e-06,0.3117049650307334,0.07029867781044129,0.052393186382142146,8.801338696024729e-06,9.961470538069376,0.1783703866900943,0.2243563292305915,2.448701417880985e-06,0.31719155424598894,0.07153606575991925,0.05331540425996385,1.0875146389007568
2nn,1000,rastrigin_func,0,0,0.0005755107010515514,0.510046683353372,0.1202080061511667,0.09226180395671121,0.0014045442715054832,3.9096658628590015,0.35380000193439765,0.4633310766912234,0.0007450365380455078,0.6602890519895838,0.15561718762931573,0.11943898677843037,0.05654287338256836
2nn,10000,rastrigin_func,0,0,0.0003078577595568843,0.41677914313576003,0.10135317970838728,0.07376901158832873,0.0006193955106984104,2.5902077327255846,0.2618367019073306,0.26649347843366494,0.00033687634264902976,0.4560646242409504,0.11090670102048383,0.08072245721686364,0.14405107498168945
2nn,1000000,rastrigin_func,0,0,9.012019797638438e-07,0.21742379167438403,0.03821986092435498,0.02888258258177932,2.2157093623310434e-06,5.970947108590323,0.09276616201187395,0.09071865259916077,9.159476329830938e-07,0.2209813247309415,0.038845222195117164,0.029355165372752408,14.159908533096313
2nn,10000000,rastrigin_func,0,0,1.0439084208169191e-08,0.13634730764552713,0.020955058753135032,0.016178818226357316,2.449715666135217e-08,2.689654647739704,0.05072454668149241,0.04676007652126611,1.0624259109872574e-08,0.13876592012027114,0.0213267724846675,0.016465808063300887,136.9249484539032
2nn,1000,rastrigin_func,0.0,5.0,0.00043713781311971456,0.34342494907715426,0.10273745506608825,0.07943840868121033,0.0010148341611309047,3.380749394194406,0.2554718903811524,0.35053979293604864,0.0005629189683957682,0.4422413533073567,0.13229892378486802,0.10229585664688787,0.07296943664550781
2nn,10000,rastrigin_func,0.0,5.0,4.1396189460418675e-05,0.3847881224057827,0.10216921454978048,0.07519143328454617,6.47108475348302e-05,32.47078465220584,0.28185233566712714,0.8840939441832976,4.241411194336137e-05,0.394249971094553,0.1046815313091348,0.07704037279957589,0.1537942886352539
2nn,100000,rastrigin_func,0.0,5.0,1.0954096166804206e-06,0.30141932852117803,0.06775175720208183,0.050570074104913446,1.8074195391039353e-06,3.230138626714278,0.17065204016368415,0.17556498546918925,1.2248970922428005e-06,0.3370498610101967,0.07576063705069866,0.056547921236374324,1.5614063739776611
2nn,1000000,rastrigin_func,0.0,5.0,3.802332348978865e-08,0.22531580702819598,0.03919083866082539,0.029628964969746506,8.61206139904778e-08,1.9525384499890213,0.09261175057129224,0.08288471264596788,4.281042236817346e-08,0.253682844628071,0.0441249265462934,0.033359222400096256,12.684956789016724
